abandon,-2.39,-0.36,0.04
abandoned,-2.08,-1.55,-0.63
abbot,2.03,1.41,-0.78
abet,-0.43,1.47,-0.52
abhor,-1.12,0.33,0.47
able,2.1,1.7,1.2
abominable snowman,-1.06,2.28,-0.27
abortion,-1.8,-0.6,0.2
abortion clinic,-0.85,1.17,-0.78
abortionist,-1.31,0.46,-0.06
about,-0.1,0.9,0.4
above,1.1,0.7,0.3
abrupt,-0.4,0.4,0.7
absentminded,-1.18,-1.2,-0.74
abuse,-2.94,0.36,0.95
abusive,-2.71,0.13,0.99
academic,1.37,1.06,0.02
accept,1.6,1.31,0.45
accept,1.6,0.7,0.7
accept,1.4,0.5,0.4
accept_things,0.6,0,0.1
accident,-1.7,0.2,0.5
acclaim,1.41,0.97,0.6
accommodate,1.85,0.88,0.28
accommodating,1.7,0.87,0.07
accomplice,-0.37,0.21,0.9
accost,-1.17,0.25,0.57
accountant,0.72,0.73,-0.11
accuse,-1.4,0.48,0.69
accused,-0.68,-1.23,0.03
acid-head,-1.91,-1.99,0.61
acknowledge,1.3,0.03,0.33
acquaintance,1.49,0.2,0.34
acquit,0.93,0.87,-0.1
across,0.7,0.2,0.2
act,1.1,1,0.6
act_on,1.5,0.9,0.9
action,1.2,1.2,1
active,2.07,1.53,2.28
activist,1.41,1.04,1.86
actor,0.94,0.88,1.34
actual,1,0.4,0.2
addict,-1.62,-2.13,0.38
address,1.05,0.63,0.13
admiral,1.3,1.3,0.9
admire,1.68,0.6,0.38
admit,1,0,0.5
admit,-0.17,0.86,0.74
admonish,-0.31,0.74,0.3
adolescent,0.66,-0.56,2.14
adolescent,0.3,-0.1,1
adonis,0.2,-0.5,0.6
adopt,1.4,-0.1,0.5
adopt,2.43,1.51,0.71
adore,1.76,0.9,0.75
adorn,1,0,0.1
adorn,1.4,0.9,0.7
adult,1.09,1.19,0.01
adult bookstore,-0.35,-0.18,0.09
adulterer,-2.08,-0.1,0.49
adulterer,-1.4,0.7,0.4
adulteress,-1.93,-0.46,0.74
advantage,1.8,1.6,1
adventurous,1.96,1.62,2.08
advertising copy writer,0.4,0.66,0.76
advertising executive,0.43,1.98,1.34
advise,1.72,1.26,0.06
advisor,1.48,1.29,-0.13
affair,1.1,0.8,0.8
affect,0.2,0.6,0
affect,-0.48,0.26,0.9
affectionate,2.34,1.2,0.46
affront,-0.46,0.64,0.71
afraid,-1.7,-1.47,-0.18
afraid,-1,-0.8,0.3
africa,0,0.9,0
african,0.91,0.05,0.78
afro-american,1.6,0.69,0.94
again,1,0.5,0.5
agent,0.53,0.34,0.29
aggravate,-1.65,0.24,0.89
aggravated,-1.8,-0.58,0.24
aggressive,0.13,1.64,1.68
aggressive,0.7,0.9,0.7
aggressor,-1.85,1.4,0.96
agile,1.3,0.7,0.9
agitate,-1.26,0.58,1.23
agitated,-1.73,-0.71,0.45
agnostic,-0.03,-0.33,0.55
ago,0.5,0.3,-0.4
agree,1.2,0.3,0
agree with,1.22,0.53,0.14
agreeable,1.55,0.39,-0.06
aid,2.39,1.76,0.57
aide,1.84,0.75,0.53
aimless,-1.52,-1.66,-0.43
air,2.1,1.3,0.7
air force enlistee,1.46,1.11,0.87
air force officer,1.59,1.94,1.64
air force reservist,1.67,1.34,1.14
air raid,-1.78,2.28,2.1
airline pilot,1.45,1.73,0.41
airman,0.66,1.24,1.63
airplane,1.47,1.93,1.83
airplane,1.7,1.2,1.5
airport,1.14,2.04,2.14
alarm,-0.66,-0.04,0.96
alarmed,-1.21,-0.24,1.07
alcoholic,-1.68,-1.83,-0.66
alderman,0.81,0.86,-0.75
alert,1.63,1.4,1.32
alert,1.71,1.27,1.13
alien (immigrant),0.74,-1.38,0.17
alienate,-2.1,0.78,0.31
all,1.1,1.3,0.9
all,1.3,0.8,0.9
all_over,0.6,0.4,0.1
alley,-0.69,-0.11,0.07
allow,1.1,-0.1,0.1
ally,1.26,1.08,1.52
almost,1,0.3,0.6
alone,-0.6,-0.7,-0.9
along,0.6,-0.2,0.1
aloof,-0.6,-0.39,-0.3
already,0.6,0.3,0.1
also,0.7,0.3,0
alumnus,0.97,1.01,-0.4
always,1.2,1,0.6
amateur,0.59,-0.52,1.04
amaze,1.27,1.26,1.12
ambassador,0.99,2.64,-0.05
ambitious,1.93,1.87,1.75
ambulance,1.08,1.58,2.01
america,1.7,1.2,1.2
american,1.52,1.68,1.44
amount,1.3,0.6,0.2
amuse,1.99,1.2,1.42
amused,2.36,1.15,1.41
amusement park,2.2,1.47,2.63
amusing,1.76,1.04,1.27
analyze,0.43,0.76,-0.04
anarchist,0.04,0.87,1.05
anesthetist,0.97,0.71,-0.16
angel,3.3,2.22,0.59
anger,-1.58,0.87,0.97
anger,-1,0.5,0.7
anglican,0.84,0.07,-0.28
angry,-1.53,0.22,1.05
anguished,-1.86,-1.26,-0.74
animal,1.2,0.2,1.1
animal shelter,1.56,0.43,0.84
ankle-biter,-0.38,-1.19,1.82
annihilate,-2.53,1.97,1.26
announcer,0.85,0.53,0.18
annoy,-1.8,-0.12,0.95
annoyed,-1.64,-0.39,0.24
annoying,-1.84,-0.55,0.91
anoint,1.19,1.5,-0.09
anorexic,-1.29,-2.14,0.31
another,0.6,-0.1,0
another,0.6,-0.2,0.1
answer,1.6,1.1,0.9
answer,1.5,0.9,0.5
answer,1.47,0.76,0.35
antagonist,-1.35,0.8,1.03
antagonize,-1.62,0.29,0.94
antiquarian,1.25,-0.73,-1.06
anti-semite,-2.13,-0.57,0.79
antisocial,-1.7,-1.32,-1.2
anxious,-0.5,-0.31,0.98
anything,0.4,0.2,0.7
apartment,1.06,0.27,0.65
apathetic,-0.43,-0.63,-0.72
ape,-0.96,-0.07,1.02
apologize to,2.05,1.28,-0.13
appeal to,1.52,0.8,0.65
appear,1.4,0.8,0.3
appear,1,1.4,0.4
appease,0.5,-0.07,-0.33
applaud,1.99,1.21,1.35
apple,1.8,0,0.9
applicant,0.88,-0.82,0.5
appoint,1.8,1.3,1.2
appoint,1.19,1.79,0.37
appreciate,2.31,1.33,0.29
appreciative,2.12,1.12,0.12
apprehend,0.23,1.47,1.15
apprehensive,-0.88,-0.89,-0.53
apprentice,1.6,0.1,0.6
apprentice,1.05,-0.56,1.08
approach,0.96,0.75,0.57
approve,1.31,0.63,0.68
approve of,1.7,1.15,0.15
april,1.2,0,0.4
april fools day,0.97,0.23,1.26
arch,0,0.7,0.2
archbishop,2.01,1.68,-1.56
architect,1.27,1.19,0.18
argon,1,0.3,0.3
argue,-1,1,0.8
argue with,-0.81,0.82,1.22
argument,-0.6,0.6,0.8
argument,-0.9,0.3,0.6
arise,1.6,0.9,1
aristocrat,-0.3,1.09,-0.02
arm,0.7,1.9,1.4
arm,-1.02,0.69,0.76
arm,1.5,1.2,1.2
arms,0,2,1.1
army,0.9,1.5,0.9
army chaplain,0.66,0.6,-0.77
army enlistee,1.43,1.07,1.18
